,date,HATO,variable,value,HATO_C
5247,2019-10-04,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7842,2019-10-04,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
58,2019-10-05,ISLA,name,La_Isla-Lote_4,ISLA
2653,2019-10-05,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5248,2019-10-05,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7843,2019-10-05,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
59,2019-10-06,ISLA,name,La_Isla-Lote_4,ISLA
2654,2019-10-06,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5249,2019-10-06,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7844,2019-10-06,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
60,2019-10-07,ISLA,name,La_Isla-Lote_4,ISLA
2655,2019-10-07,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5250,2019-10-07,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7845,2019-10-07,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
61,2019-10-08,ISLA,name,La_Isla-Lote_4,ISLA
2656,2019-10-08,ISLA,lag_1,La_Isla-Lote_3,ISLA_1
5251,2019-10-08,ISLA,lag_2,La_Isla-Lote_1,ISLA_2
7846,2019-10-08,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
62,2019-10-09,ISLA,name,La_Isla-Lote_ML_1,ISLA
2657,2019-10-09,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5252,2019-10-09,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7847,2019-10-09,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
63,2019-10-10,ISLA,name,La_Isla-Lote_ML_1,ISLA
2658,2019-10-10,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5253,2019-10-10,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7848,2019-10-10,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
64,2019-10-11,ISLA,name,La_Isla-Lote_ML_1,ISLA
2659,2019-10-11,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5254,2019-10-11,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7849,2019-10-11,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
65,2019-10-12,ISLA,name,La_Isla-Lote_ML_1,ISLA
2660,2019-10-12,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5255,2019-10-12,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7850,2019-10-12,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
66,2019-10-13,ISLA,name,La_Isla-Lote_ML_1,ISLA
2661,2019-10-13,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5256,2019-10-13,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7851,2019-10-13,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
67,2019-10-14,ISLA,name,La_Isla-Lote_ML_1,ISLA
2662,2019-10-14,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5257,2019-10-14,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7852,2019-10-14,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
68,2019-10-15,ISLA,name,La_Isla-Lote_ML_1,ISLA
2663,2019-10-15,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5258,2019-10-15,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7853,2019-10-15,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
69,2019-10-16,ISLA,name,La_Isla-Lote_ML_1,ISLA
2664,2019-10-16,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5259,2019-10-16,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7854,2019-10-16,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
70,2019-10-17,ISLA,name,La_Isla-Lote_ML_1,ISLA
2665,2019-10-17,ISLA,lag_1,La_Isla-Lote_4,ISLA_1
5260,2019-10-17,ISLA,lag_2,La_Isla-Lote_3,ISLA_2
7855,2019-10-17,ISLA,lag_3,La_Isla-Lote_1,ISLA_3
71,2019-10-18,ISLA,name,La_Isla-Lote_ML_2,ISLA
2666,2019-10-18,ISLA,lag_1,La_Isla-Lote_ML_1,ISLA_1
5261,2019-10-18,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7856,2019-10-18,ISLA,lag_3,La_Isla-Lote_3,ISLA_3
72,2019-10-19,ISLA,name,La_Isla-Lote_ML_2,ISLA
2667,2019-10-19,ISLA,lag_1,La_Isla-Lote_ML_1,ISLA_1
5262,2019-10-19,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7857,2019-10-19,ISLA,lag_3,La_Isla-Lote_3,ISLA_3
73,2019-10-20,ISLA,name,La_Isla-Lote_ML_2,ISLA
2668,2019-10-20,ISLA,lag_1,La_Isla-Lote_ML_1,ISLA_1
5263,2019-10-20,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7858,2019-10-20,ISLA,lag_3,La_Isla-Lote_3,ISLA_3
74,2019-10-21,ISLA,name,La_Isla-Lote_ML_2,ISLA
2669,2019-10-21,ISLA,lag_1,La_Isla-Lote_ML_1,ISLA_1
5264,2019-10-21,ISLA,lag_2,La_Isla-Lote_4,ISLA_2
7859,2019-10-21,ISLA,lag_3,La_Isla-Lote_3,ISLA_3
75,2019-10-22,ISLA,name,La_Isla-Lote_28,ISLA
2670,2019-10-22,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5265,2019-10-22,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7860,2019-10-22,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
76,2019-10-23,ISLA,name,La_Isla-Lote_28,ISLA
2671,2019-10-23,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5266,2019-10-23,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7861,2019-10-23,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
77,2019-10-24,ISLA,name,La_Isla-Lote_28,ISLA
2672,2019-10-24,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5267,2019-10-24,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7862,2019-10-24,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
78,2019-10-25,ISLA,name,La_Isla-Lote_28,ISLA
2673,2019-10-25,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5268,2019-10-25,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7863,2019-10-25,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
79,2019-10-26,ISLA,name,La_Isla-Lote_28,ISLA
2674,2019-10-26,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5269,2019-10-26,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7864,2019-10-26,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
80,2019-10-27,ISLA,name,La_Isla-Lote_28,ISLA
2675,2019-10-27,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5270,2019-10-27,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7865,2019-10-27,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
81,2019-10-28,ISLA,name,La_Isla-Lote_28,ISLA
2676,2019-10-28,ISLA,lag_1,La_Isla-Lote_ML_2,ISLA_1
5271,2019-10-28,ISLA,lag_2,La_Isla-Lote_ML_1,ISLA_2
7866,2019-10-28,ISLA,lag_3,La_Isla-Lote_4,ISLA_3
82,2019-10-29,ISLA,name,La_Isla-Lote_7,ISLA
2677,2019-10-29,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5272,2019-10-29,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7867,2019-10-29,ISLA,lag_3,La_Isla-Lote_ML_1,ISLA_3
83,2019-10-30,ISLA,name,La_Isla-Lote_7,ISLA
2678,2019-10-30,ISLA,lag_1,La_Isla-Lote_28,ISLA_1
5273,2019-10-30,ISLA,lag_2,La_Isla-Lote_ML_2,ISLA_2
7868,2019-10-30,ISLA,lag_3,La_Isla-Lote_ML_1,ISLA_3
84,2019-10-31,ISLA,name,La_Isla-Lote_6,ISLA
2679,2019-10-31,ISLA,lag_1,La_Isla-Lote_7,ISLA_1
5274,2019-10-31,ISLA,lag_2,La_Isla-Lote_28,ISLA_2
7869,2019-10-31,ISLA,lag_3,La_Isla-Lote_ML_2,ISLA_3
85,2019-11-01,ISLA,name,La_Isla-Lote_ML_6,ISLA
2680,2019-11-01,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5275,2019-11-01,ISLA,lag_2,La_Isla-Lote_7,ISLA_2
7870,2019-11-01,ISLA,lag_3,La_Isla-Lote_28,ISLA_3
86,2019-11-02,ISLA,name,La_Isla-Lote_ML_4,ISLA
2681,2019-11-02,ISLA,lag_1,La_Isla-Lote_ML_6,ISLA_1
5276,2019-11-02,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7871,2019-11-02,ISLA,lag_3,La_Isla-Lote_7,ISLA_3
87,2019-11-03,ISLA,name,La_Isla-Lote_ML_4,ISLA
2682,2019-11-03,ISLA,lag_1,La_Isla-Lote_ML_6,ISLA_1
5277,2019-11-03,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7872,2019-11-03,ISLA,lag_3,La_Isla-Lote_7,ISLA_3
88,2019-11-04,ISLA,name,La_Isla-Lote_ML_4,ISLA
2683,2019-11-04,ISLA,lag_1,La_Isla-Lote_ML_6,ISLA_1
5278,2019-11-04,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7873,2019-11-04,ISLA,lag_3,La_Isla-Lote_7,ISLA_3
89,2019-11-05,ISLA,name,La_Isla-Lote_ML_4,ISLA
2684,2019-11-05,ISLA,lag_1,La_Isla-Lote_ML_6,ISLA_1
5279,2019-11-05,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7874,2019-11-05,ISLA,lag_3,La_Isla-Lote_7,ISLA_3
90,2019-11-06,ISLA,name,La_Isla-Lote_ML_4,ISLA
2685,2019-11-06,ISLA,lag_1,La_Isla-Lote_ML_6,ISLA_1
5280,2019-11-06,ISLA,lag_2,La_Isla-Lote_6,ISLA_2
7875,2019-11-06,ISLA,lag_3,La_Isla-Lote_7,ISLA_3
91,2019-11-07,ISLA,name,La_Isla-Lote_18,ISLA
2686,2019-11-07,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5281,2019-11-07,ISLA,lag_2,La_Isla-Lote_ML_6,ISLA_2
7876,2019-11-07,ISLA,lag_3,La_Isla-Lote_6,ISLA_3
