Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
1569,21,RC22,2020-01-17,RECODO 1,KYKUYO,1.6,127.0,2347.0,18.480314960629922,False,2020-01-17 00:00:00,3,48 days 00:00:00,127.0,2019-02-16 00:00:00,,2019-04-02 00:00:00,,,,,335 days 00:00:00,,290 days 00:00:00,,,,
2038,39,RC40,2020-01-17,RECODO 2,KYKUYO,1.9,135.0,2491.0,18.451851851851853,False,2020-01-17 00:00:00,3,53 days 00:00:00,135.0,2019-05-10 00:00:00,,2019-03-11 00:00:00,,2019-03-15 00:00:00,,,252 days 00:00:00,,312 days 00:00:00,,308 days 00:00:00,,
2507,2,RC03,2020-01-17,RECODO 3,RAYGRAS,1.3,134.0,2524.0,18.835820895522392,False,2020-01-17 00:00:00,2,37 days 00:00:00,134.0,2019-02-18 00:00:00,,,,2019-02-08 00:00:00,,,333 days 00:00:00,,,,343 days 00:00:00,,
163,119,La_Isla-Lote_7,2020-01-18,ISLA,KYKUYO,1.2,62.0,1023.0,16.5,False,2020-01-18 00:00:00,2,78 days 00:00:00,62.0,2019-02-07 00:00:00,,,,2019-10-23 00:00:00,2019-04-03 00:00:00,,345 days 00:00:00,,,,87 days 00:00:00,290 days 00:00:00,
632,81,Juncalito-Lote_1,2020-01-18,JUNCAL,KYKUYO,1.2,125.0,2058.0,16.464000000000002,False,2020-01-18 00:00:00,3,33 days 00:00:00,125.0,2019-12-24 00:00:00,,2019-03-15 00:00:00,2019-03-15 00:00:00,2019-07-02 00:00:00,2019-03-15 00:00:00,2019-03-15 00:00:00,25 days 00:00:00,,309 days 00:00:00,309 days 00:00:00,200 days 00:00:00,309 days 00:00:00,309 days 00:00:00
1101,114,Paraiso-Lote_13,2020-01-18,PARAISO,KYKUYO,1.3,112.0,1801.0,16.080357142857142,False,2020-01-18 00:00:00,2,39 days 00:00:00,112.0,2019-12-24 00:00:00,,,,2019-07-02 00:00:00,2019-05-24 00:00:00,,25 days 00:00:00,,,,200 days 00:00:00,239 days 00:00:00,
1570,22,RC23,2020-01-18,RECODO 1,KYKUYO,1.4,119.0,2196.0,18.45378151260504,False,2020-01-18 00:00:00,1,47 days 00:00:00,119.0,2019-02-14 00:00:00,,2019-04-04 00:00:00,,,,,338 days 00:00:00,,289 days 00:00:00,,,,
2039,39,RC40,2020-01-18,RECODO 2,KYKUYO,1.9,131.0,2532.0,19.328244274809162,False,2020-01-18 00:00:00,4,53 days 00:00:00,131.0,2019-05-10 00:00:00,,2019-03-11 00:00:00,,2019-03-15 00:00:00,,,253 days 00:00:00,,313 days 00:00:00,,309 days 00:00:00,,
2508,2,RC03,2020-01-18,RECODO 3,RAYGRAS,1.3,122.0,2486.0,20.37704918032787,False,2020-01-18 00:00:00,3,37 days 00:00:00,122.0,2019-02-18 00:00:00,,,,2019-02-08 00:00:00,,,334 days 00:00:00,,,,344 days 00:00:00,,
164,120,La_Isla-Lote_6,2020-01-19,ISLA,KYKUYO,1.1,62.0,946.0,15.258064516129034,False,2020-01-19 00:00:00,1,79 days 00:00:00,62.0,2019-02-07 00:00:00,,2019-04-01 00:00:00,,2019-10-23 00:00:00,2019-04-01 00:00:00,,346 days 00:00:00,,293 days 00:00:00,,88 days 00:00:00,293 days 00:00:00,
