Unnamed: 0_x,date,HATO,variable,value,HATO_C,Unnamed: 0_y,poly,name,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
211,2020-03-06,ISLA,name,La_Isla-Lote_6,ISLA,211.0,120.0,La_Isla-Lote_6,KYKUYO,0.8,60.0,867.0,14.45,False,2020-03-06 00:00:00,1.0,46 days 00:00:00,60.0,2019-02-07 00:00:00,,2019-04-01 00:00:00,,2019-10-23 00:00:00,2019-04-01 00:00:00,,393 days 00:00:00,,340 days 00:00:00,,135 days 00:00:00,340 days 00:00:00,
2806,2020-03-06,ISLA,lag_1,La_Isla-Lote_7,ISLA_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,2020-03-06,ISLA,lag_2,La_Isla-Lote_28,ISLA_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
7996,2020-03-06,ISLA,lag_3,La_Isla-Lote_ML_3,ISLA_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,2020-03-06,JUNCAL,name,Juncalito-Lote_4,JUNCAL,680.0,84.0,Juncalito-Lote_4,KYKUYO,1.1,119.0,1859.0,15.621848739495798,False,2020-03-06 00:00:00,1.0,40 days 00:00:00,119.0,2020-02-11 00:00:00,2019-04-17 00:00:00,2019-04-17 00:00:00,2019-04-17 00:00:00,2019-01-12 00:00:00,2019-04-17 00:00:00,2019-04-17 00:00:00,24 days 00:00:00,324 days 00:00:00,324 days 00:00:00,324 days 00:00:00,419 days 00:00:00,324 days 00:00:00,324 days 00:00:00
3275,2020-03-06,JUNCAL,lag_1,Juncalito-Lote_3,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5870,2020-03-06,JUNCAL,lag_2,Juncalito-Lote_2,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8465,2020-03-06,JUNCAL,lag_3,Juncalito-Lote_1,JUNCAL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,2020-03-06,PARAISO,name,Paraiso-Lote_13,PARAISO,1149.0,114.0,Paraiso-Lote_13,KYKUYO,1.2,109.0,1688.0,15.486238532110093,False,2020-03-06 00:00:00,3.0,45 days 00:00:00,109.0,2020-02-06 00:00:00,,,,2020-02-06 00:00:00,2019-05-24 00:00:00,,29 days 00:00:00,,,,29 days 00:00:00,287 days 00:00:00,
3744,2020-03-06,PARAISO,lag_1,Paraiso-Lote_12,PARAISO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
