name,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,area
RC25,RC26,RC24,RC22,RC28,RC21,RC27,RC23,RC29,RC44,19502.298730400027
RC26,RC25,RC44,RC21,RC27,RC22,RC28,RC47,RC48,RC50,18651.288601429278
RC27,RC28,RC32,RC50,RC26,RC25,RC31,RC48,RC51,RC29,16194.732965457228
RC28,RC27,RC29,RC25,RC31,RC32,RC24,RC26,RC30,RC07,18802.51616202042
RC29,RC07,RC28,RC24,RC30,RC31,RC10,RC06,RC25,RC27,20773.78688162941
RC30,RC31,RC06,RC29,RC35,RC07,RC34,RC03,RC28,RC32,19550.451625932677
RC31,RC32,RC30,RC28,RC34,RC29,RC33,RC27,RC43,RC35,18519.97726889919
RC32,RC31,RC43,RC27,RC51,RC33,RC28,RC34,RC50,RC30,14668.110428300532
RC33,RC34,RC43,RC42,RC32,RC38,RC31,RC52,RC35,RC37,17303.196148099207
RC34,RC33,RC35,RC31,RC37,RC30,RC38,RC32,RC36,RC43,20418.919937777257
RC35,RC34,RC03,RC30,RC36,RC06,RC02,RC37,RC31,RC33,20559.975666676324
RC36,RC37,RC02,RC72,RC71,RC35,RC67,RC38,T9,RC68,19727.207564999662
RC37,RC38,RC36,RC71,RC70,RC72,RC34,RC68,RC35,RC69,18424.494456376033
RC38,RC37,RC70,RC41,RC42,RC71,RC33,RC36,RC34,RC69,15308.32383432935
RC39,RC63,RC64,RC55,RC40,RC69,RC62,RC65,RC70,RC56,21870.174660011216
RC40,RC69,RC70,RC41,RC39,RC60,RC64,RC55,RC38,RC68,21764.341750549098
RC41,RC42,RC40,RC38,RC60,RC70,RC52,RC53,RC69,RC37,27097.16060043451
T5,T4,T6,T3,T7,T8,T2,T1,T9,RC66,3009.2201395093084
RC42,RC52,RC41,RC38,RC33,RC43,RC37,RC34,RC70,RC40,13096.868026328037
RC43,RC51,RC32,RC33,RC52,RC49,RC42,RC31,RC50,RC34,13812.963893126667
RC44,RC47,RC26,RC48,RC21,RC45,RC25,RC27,RC50,RC22,19672.54881425618
RC45,RC46,RC21,RC20,RC44,RC22,RC26,RC19,RC47,RC25,24636.715600659638
RC46,RC45,RC20,RC19,RC21,RC18,RC22,RC17,RC44,RC23,16617.22789220158
RC47,RC48,RC44,RC50,RC26,RC49,RC27,RC45,RC21,RC51,12372.651831326157
RC48,RC47,RC50,RC49,RC44,RC27,RC26,RC51,RC32,RC28,13423.51383187111
RC49,RC50,RC51,RC48,RC43,RC47,RC27,RC32,RC52,RC44,14872.393817022099
RC50,RC49,RC48,RC51,RC27,RC47,RC32,RC43,RC26,RC44,13831.475867263733
RC51,RC43,RC49,RC50,RC32,RC52,RC27,RC48,RC33,RC31,12466.17087101308
RC52,RC42,RC43,RC51,RC33,RC41,RC38,RC49,RC53,RC32,19669.524621238987
RC53,RC60,RC59,RC41,RC40,RC42,RC52,RC54,RC55,RC56,11299.067645585383
RC54,RC58,RC57,RC59,RC56,RC53,RC60,RC55,RC40,RC39,17410.755361314263
RC55,RC56,RC39,RC59,RC40,RC60,RC57,RC63,RC64,RC69,20441.810232705036
RC56,RC57,RC55,RC59,RC58,RC39,RC60,RC54,RC40,RC53,14453.505691749004
RC57,RC56,RC58,RC54,RC59,RC55,RC60,RC39,RC53,RC40,10935.035388706889
RC58,RC54,RC57,RC56,RC59,RC55,RC60,RC53,RC39,RC40,22187.32226688379
RC59,RC60,RC56,RC53,RC55,RC57,RC58,RC54,RC40,RC39,14364.550692052968
RC60,RC59,RC53,RC40,RC41,RC55,RC56,RC39,RC42,RC70,20814.86133153324
RC61,RC62,T1,RC66,T2,RC65,T3,RC63,T4,RC67,10860.835855033381
RC62,RC63,RC61,RC65,RC64,RC66,T1,RC68,RC69,T2,7461.827873115519
RC63,RC64,RC62,RC65,RC39,RC69,RC61,RC68,RC66,RC40,5068.5284805783795
RC64,RC69,RC63,RC65,RC68,RC62,RC39,RC70,RC71,RC40,6163.209459852271
RC65,RC68,RC64,RC62,RC66,RC63,RC69,RC67,RC61,RC71,6680.4474182809245
RC66,T1,RC67,RC65,T2,RC61,RC68,RC62,T3,RC72,7973.836439485459
